Municipal Budget Variance Analysis
========================================

Total records: 300
Valid records: 295
Missing actual-spend records: 5
Invalid records: 0

SIGNIFICANT OVERSPENDING
----------------------------------------
2024-01 | Ward 5 – Hadapsar | Parks & Greening | Budget: 2.50 | Actual: 2.80 | Variance: 0.30 | Variance %: 12.00%
2024-12 | Ward 2 – Shivajinagar | Waste Management | Budget: 6.40 | Actual: 6.50 | Variance: 0.10 | Variance %: 1.56%
2024-12 | Ward 2 – Shivajinagar | Parks & Greening | Budget: 1.90 | Actual: 1.70 | Variance: -0.20 | Variance %: -10.53%
2024-12 | Ward 3 – Kothrud | Roads & Pothole Repair | Budget: 11.80 | Actual: 12.30 | Variance: 0.50 | Variance %: 4.24%
2024-12 | Ward 3 – Kothrud | Drainage & Flooding | Budget: 8.20 | Actual: 8.20 | Variance: 0.00 | Variance %: 0.00%
2024-12 | Ward 3 – Kothrud | Streetlight Maintenance | Budget: 4.00 | Actual: 3.80 | Variance: -0.20 | Variance %: -5.00%
2024-12 | Ward 3 – Kothrud | Waste Management | Budget: 5.10 | Actual: 4.30 | Variance: -0.80 | Variance %: -15.69%
2024-12 | Ward 3 – Kothrud | Parks & Greening | Budget: 3.30 | Actual: 2.80 | Variance: -0.50 | Variance %: -15.15%
2024-12 | Ward 4 – Warje | Roads & Pothole Repair | Budget: 10.30 | Actual: 11.20 | Variance: 0.90 | Variance %: 8.74%
2024-12 | Ward 4 – Warje | Drainage & Flooding | Budget: 6.70 | Actual: 7.40 | Variance: 0.70 | Variance %: 10.45%
2024-12 | Ward 4 – Warje | Streetlight Maintenance | Budget: 3.00 | Actual: 3.00 | Variance: 0.00 | Variance %: 0.00%
2024-12 | Ward 4 – Warje | Waste Management | Budget: 4.40 | Actual: 4.70 | Variance: 0.30 | Variance %: 6.82%
2024-12 | Ward 4 – Warje | Parks & Greening | Budget: 1.60 | Actual: 1.60 | Variance: 0.00 | Variance %: 0.00%
2024-12 | Ward 5 – Hadapsar | Roads & Pothole Repair | Budget: 14.30 | Actual: 12.60 | Variance: -1.70 | Variance %: -11.89%
2024-12 | Ward 5 – Hadapsar | Drainage & Flooding | Budget: 10.60 | Actual: 9.30 | Variance: -1.30 | Variance %: -12.26%
2024-12 | Ward 5 – Hadapsar | Streetlight Maintenance | Budget: 3.70 | Actual: 3.40 | Variance: -0.30 | Variance %: -8.11%
2024-12 | Ward 5 – Hadapsar | Waste Management | Budget: 6.10 | Actual: 6.70 | Variance: 0.60 | Variance %: 9.84%
2024-12 | Ward 5 – Hadapsar | Parks & Greening | Budget: 2.50 | Actual: 2.70 | Variance: 0.20 | Variance %: 8.00%
